"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"BEER_SMALL";1;"LOGO";;;
2;"C11,C8";"C_0805_2012Metric";2;"10u";;;
3;"Breathalizer1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
4;"BZ1";"PKM13EPYH4000_piezo";1;"Buzzer";;;
5;"C1,C13,C15,C16,C19";"C_0805_2012Metric";5;"100n";;;
6;"C7,C9,C12,C2";"C_0805_2012Metric";4;"0.1u";;;
7;"C10";"C_0805_2012Metric";1;"1u";;;
8;"C14,C17";"CP_Elec_5x5.3";2;"10u";;;
9;"C20";"C_0805_2012Metric";1;"10n";;;
10;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
11;"J3";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial";;;
12;"L1";"L_0805_2012Metric";1;"100n";;;
13;"R2,R4";"R_0805_2012Metric";2;"680";;;
14;"R3,R5";"R_0805_2012Metric";2;"1200";;;
15;"R6";"R_0805_2012Metric";1;"100";;;
16;"SSD1306-SPI1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Male";;;
17;"SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
18;"U1";"CMWX1ZZABZ_longer_pads";1;"CMWX1ZZABZ-078";;;
19;"U2";"SOT-223";1;"LM1117ADJ";;;
20;"J2";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
